index,frameID,groupID,x,y,w,h
8591,12164.0,762.0,182.13,153.41,36.27,63.52
8592,12165.0,763.0,312.64,174.0,89.11,23.36
8593,12165.0,764.0,116.04,127.05,110.61,97.2
8594,12165.0,762.0,182.13,153.41,36.27,63.52
8595,12166.0,763.0,312.64,174.0,89.11,23.36
8596,12166.0,762.0,182.13,153.41,86.43,63.52
8597,12167.0,763.0,312.64,174.0,89.11,23.36
8598,12167.0,762.0,182.13,153.41,86.43,63.52
8599,12168.0,763.0,312.64,174.0,89.11,23.36
8600,12168.0,762.0,182.13,153.41,36.27,63.52
8601,12169.0,763.0,312.64,171.18,89.11,26.18
8602,12169.0,764.0,116.04,127.05,110.61,97.2
8603,12169.0,762.0,182.13,153.41,36.27,63.52
8604,12170.0,763.0,312.64,171.18,65.42,26.18
8605,12170.0,764.0,116.04,127.05,110.61,97.2
8606,12170.0,762.0,182.13,153.41,36.27,63.52
8607,12171.0,763.0,312.64,171.18,65.42,26.18
8608,12171.0,764.0,116.04,127.05,110.61,97.2
8609,12171.0,762.0,182.13,153.41,36.27,63.52
8610,12172.0,763.0,312.64,171.18,65.42,26.18
8611,12172.0,764.0,116.04,127.05,110.61,97.2
8612,12172.0,762.0,182.13,153.41,36.27,63.52
8613,12173.0,763.0,312.64,171.18,65.42,26.18
8614,12173.0,764.0,116.04,127.05,110.61,97.2
8615,12173.0,762.0,182.13,153.41,36.27,63.52
8616,12174.0,763.0,311.74,171.18,66.32,29.47
8617,12175.0,765.0,311.74,171.18,66.32,29.47
8618,12176.0,763.0,311.74,171.18,66.32,29.47
8619,12177.0,763.0,311.74,171.18,66.32,29.47
8620,12178.0,763.0,312.64,171.18,65.42,29.47
8621,12179.0,763.0,312.64,171.18,89.11,27.91
8622,12179.0,762.0,182.13,153.41,36.27,63.52
8623,12180.0,763.0,333.28,171.18,68.47,27.91
8624,12180.0,762.0,182.13,153.41,36.27,63.52
8625,12181.0,763.0,333.28,171.18,68.47,27.91
8626,12181.0,762.0,182.13,153.41,36.27,63.52
8627,12182.0,763.0,333.28,171.18,68.47,27.91
8628,12182.0,762.0,182.13,153.41,86.43,63.52
8629,12183.0,763.0,333.28,171.18,68.47,29.47
8630,12183.0,762.0,199.27,153.41,69.29,61.27
8631,12184.0,763.0,355.39,174.69,46.36,25.96
8632,12184.0,762.0,199.27,153.41,69.29,61.27
8633,12184.0,764.0,116.04,127.05,110.61,97.2
8634,12185.0,763.0,355.39,174.27,52.66,26.38
8635,12185.0,762.0,199.27,153.41,69.29,61.27
8636,12185.0,764.0,116.04,127.05,110.61,97.2
8637,12186.0,763.0,355.39,174.27,52.66,26.38
8638,12186.0,762.0,199.27,153.41,69.29,61.27
8639,12186.0,764.0,116.04,127.05,110.61,97.2
8640,12187.0,763.0,355.39,174.27,52.66,26.38
8641,12187.0,762.0,199.27,153.41,69.29,61.27
8642,12187.0,764.0,116.04,127.05,110.61,97.2
8643,12188.0,763.0,355.39,174.27,52.66,26.38
8644,12188.0,762.0,199.27,153.41,69.29,61.27
8645,12188.0,764.0,116.04,127.05,110.61,97.2
8646,12189.0,763.0,355.39,174.27,52.66,26.38
8647,12189.0,762.0,199.27,153.41,69.29,61.27
8648,12190.0,763.0,333.28,171.18,74.77,27.91
8649,12190.0,762.0,199.27,153.41,69.29,61.27
8650,12190.0,764.0,116.04,127.05,110.61,97.2
8651,12190.0,766.0,273.17,175.23,20.23,16.44
8652,12191.0,763.0,333.28,171.18,74.77,26.67
8653,12191.0,762.0,199.27,153.41,69.29,61.27
8654,12191.0,764.0,116.04,127.05,110.61,97.2
8655,12192.0,763.0,333.28,171.18,74.77,26.67
8656,12192.0,762.0,199.27,153.41,69.29,61.27
8657,12193.0,763.0,333.28,171.18,74.77,27.91
8658,12193.0,762.0,199.27,153.41,69.29,61.27
8659,12194.0,763.0,333.28,171.18,74.77,27.91
8660,12194.0,762.0,199.27,153.41,69.29,61.27
8661,12195.0,763.0,333.28,171.18,74.77,26.67
8662,12195.0,762.0,199.27,153.41,69.29,61.27
8663,12196.0,763.0,355.39,174.27,52.66,26.38
8664,12196.0,762.0,199.27,153.41,69.29,61.27
8665,12196.0,766.0,273.17,175.23,20.23,16.44
8666,12197.0,763.0,355.39,174.27,63.94,26.38
8667,12197.0,762.0,199.27,153.41,69.29,61.27
8668,12198.0,763.0,355.39,174.27,63.94,26.38
8669,12198.0,762.0,199.27,153.41,69.29,61.27
8670,12199.0,763.0,369.84,174.27,49.49,25.59
8671,12199.0,762.0,199.27,153.41,69.29,61.27
8672,12200.0,763.0,369.84,174.27,49.49,25.59
8673,12200.0,762.0,199.27,153.41,69.29,61.27
8674,12201.0,763.0,369.84,174.27,49.49,25.59
8675,12201.0,762.0,199.27,153.41,69.29,61.27
8676,12202.0,763.0,369.84,174.27,49.49,25.59
8677,12202.0,762.0,199.27,153.41,69.29,61.27
8678,12203.0,763.0,333.28,171.18,86.05,28.68
8679,12203.0,762.0,199.27,153.41,69.29,61.27
8680,12204.0,763.0,333.28,171.18,86.05,28.68
8681,12204.0,762.0,199.27,153.41,69.29,61.27
8682,12205.0,763.0,333.28,171.18,86.05,28.68
8683,12205.0,762.0,199.27,153.41,69.29,61.27
8684,12206.0,763.0,312.64,171.18,106.69,28.68
8685,12206.0,767.0,273.17,171.52,58.25,30.52
8686,12206.0,762.0,199.27,153.41,69.29,61.27
8687,12207.0,763.0,312.64,171.18,106.69,29.47
8688,12207.0,767.0,273.17,171.52,58.25,30.52
8689,12207.0,762.0,199.27,153.41,69.29,61.27
8690,12208.0,763.0,333.28,171.18,86.05,29.47
8691,12208.0,762.0,199.27,153.41,69.29,61.27
8692,12209.0,763.0,333.28,171.18,86.05,28.68
8693,12209.0,762.0,116.04,127.05,152.52,97.2
8694,12210.0,763.0,333.28,171.18,86.05,28.68
8695,12210.0,762.0,116.04,127.05,110.61,97.2
8696,12210.0,768.0,182.13,160.35,98.59,56.58
8697,12211.0,763.0,333.28,171.18,86.05,28.68
8698,12211.0,762.0,116.04,127.05,110.61,97.2
8699,12211.0,768.0,182.13,160.35,98.59,56.58
8700,12212.0,763.0,333.28,171.18,86.05,28.68
8701,12212.0,762.0,116.04,127.05,110.61,97.2
8702,12213.0,763.0,333.28,171.18,86.05,28.68
8703,12213.0,762.0,116.04,127.05,110.61,97.2
8704,12214.0,763.0,333.28,171.18,86.05,28.68
8705,12214.0,762.0,116.04,127.05,110.61,97.2
8706,12215.0,763.0,333.28,171.18,74.77,26.67
8707,12215.0,762.0,116.04,127.05,110.61,97.2
8708,12216.0,763.0,333.28,171.18,74.77,26.67
8709,12216.0,762.0,116.04,127.05,110.61,97.2
8710,12217.0,763.0,333.28,171.18,74.77,26.67
8711,12217.0,762.0,116.04,127.05,110.61,97.2
8712,12218.0,763.0,333.28,171.18,74.77,26.67
8713,12218.0,762.0,116.04,127.05,110.61,97.2
8714,12219.0,763.0,333.28,171.18,74.77,26.67
8715,12219.0,762.0,116.04,127.05,110.61,97.2
8716,12220.0,763.0,333.28,171.18,74.77,26.67
8717,12220.0,762.0,116.04,127.05,110.61,97.2
8718,12221.0,763.0,333.28,171.18,74.77,26.67
8719,12221.0,762.0,116.04,127.05,110.61,97.2
8720,12222.0,763.0,333.28,171.18,74.77,26.67
8721,12222.0,762.0,116.04,127.05,110.61,97.2
8722,12223.0,763.0,333.28,171.18,68.47,26.18
8723,12223.0,762.0,116.04,127.05,110.61,97.2
8724,12224.0,763.0,333.28,171.18,68.47,26.18
8725,12224.0,762.0,116.04,127.05,110.61,97.2
8726,12225.0,763.0,333.28,171.18,68.47,26.18
8727,12225.0,762.0,116.04,127.05,110.61,97.2
8728,12226.0,763.0,333.28,171.18,68.47,26.18
8729,12226.0,762.0,116.04,127.05,110.61,97.2
8730,12227.0,763.0,333.28,171.18,68.47,26.18
8731,12227.0,762.0,116.04,127.05,110.61,97.2
8732,12228.0,763.0,333.28,171.18,68.47,26.18
8733,12228.0,762.0,116.04,127.05,110.61,97.2
8734,12229.0,763.0,333.28,171.18,68.47,26.18
8735,12229.0,762.0,116.04,127.05,110.61,97.2
8736,12230.0,763.0,333.28,171.18,68.47,26.18
8737,12230.0,762.0,116.04,127.05,110.61,97.2
8738,12231.0,762.0,116.04,127.05,110.61,97.2
8739,12231.0,763.0,333.28,171.18,86.05,28.68
8740,12232.0,763.0,333.28,171.18,86.05,28.68
8741,12232.0,762.0,116.04,127.05,110.61,97.2
8742,12233.0,763.0,182.13,160.35,219.62,56.58
8743,12233.0,762.0,116.04,127.05,110.61,97.2
8744,12234.0,763.0,182.13,160.35,219.62,56.58
8745,12234.0,762.0,116.04,127.05,110.61,97.2
8746,12235.0,763.0,182.13,160.35,219.62,56.58
8747,12235.0,762.0,116.04,127.05,110.61,97.2
8748,12236.0,763.0,182.13,160.35,219.62,56.58
8749,12236.0,762.0,116.04,127.05,110.61,97.2
8750,12237.0,763.0,355.39,174.69,46.36,25.96
8751,12237.0,762.0,199.27,153.41,27.38,61.27
8752,12238.0,763.0,355.39,174.69,46.36,25.96
8753,12238.0,762.0,199.27,153.41,27.38,61.27
8754,12239.0,763.0,355.39,174.69,46.36,25.96
8755,12239.0,762.0,199.27,153.41,27.38,61.27
8756,12240.0,763.0,182.13,160.35,219.62,56.58
8757,12240.0,762.0,199.27,153.41,27.38,61.27
8758,12241.0,763.0,182.13,160.35,219.62,56.58
8759,12241.0,762.0,199.27,153.41,27.38,61.27
8760,12242.0,763.0,355.39,174.69,46.36,25.96
8761,12242.0,762.0,199.27,153.41,27.38,61.27
8762,12243.0,763.0,355.39,174.69,46.36,25.96
8763,12243.0,762.0,199.27,153.41,27.38,61.27
8764,12244.0,763.0,355.39,174.69,46.36,25.96
8765,12244.0,762.0,199.27,153.41,27.38,61.27
8766,12245.0,763.0,333.28,171.18,68.47,29.47
8767,12245.0,762.0,199.27,153.41,27.38,61.27
8768,12246.0,763.0,333.28,171.18,86.05,28.68
8769,12246.0,762.0,199.27,153.41,27.38,61.27
8770,12247.0,762.0,199.27,153.41,27.38,61.27
8771,12247.0,763.0,333.28,171.18,86.05,28.68
8772,12248.0,762.0,199.27,153.41,27.38,61.27
8773,12248.0,763.0,333.28,171.18,86.05,28.68
8774,12249.0,763.0,333.28,171.18,86.05,28.68
8775,12249.0,762.0,199.27,153.41,27.38,61.27
8776,12250.0,763.0,333.28,171.18,68.47,26.18
8777,12250.0,762.0,199.27,153.41,27.38,61.27
8778,12251.0,763.0,333.28,171.18,68.47,26.18
8779,12251.0,762.0,199.27,153.41,27.38,61.27
8780,12252.0,763.0,333.28,171.18,68.47,29.47
8781,12252.0,762.0,199.27,153.41,27.38,61.27
8782,12253.0,763.0,355.39,174.69,46.36,25.96
8783,12253.0,762.0,199.27,153.41,27.38,61.27
8784,12254.0,763.0,355.39,174.69,46.36,25.96
8785,12254.0,762.0,199.27,153.41,27.38,61.27
8786,12255.0,763.0,355.39,174.69,46.36,25.96
8787,12255.0,762.0,199.27,153.41,27.38,61.27
8788,12256.0,763.0,355.39,174.69,46.36,25.96
8789,12256.0,762.0,199.27,153.41,27.38,61.27
8790,12257.0,763.0,355.39,174.69,46.36,25.96
8791,12257.0,762.0,199.27,153.41,27.38,61.27
8792,12257.0,769.0,236.61,169.34,10.7,22.58
8793,12258.0,763.0,355.39,174.69,46.36,25.96
8794,12258.0,762.0,199.27,153.41,27.38,61.27
8795,12259.0,763.0,355.39,174.69,46.36,25.96
8796,12259.0,762.0,199.27,153.41,27.38,61.27
8797,12260.0,763.0,355.39,174.69,46.36,25.96
8798,12260.0,762.0,199.27,153.41,27.38,61.27
8799,12261.0,763.0,355.39,174.69,46.36,25.96
8800,12261.0,762.0,199.27,153.41,27.38,61.27
8801,12262.0,763.0,355.39,174.69,46.36,25.96
8802,12262.0,762.0,199.27,153.41,27.38,61.27
8803,12262.0,769.0,236.61,169.34,10.7,22.58
8804,12263.0,763.0,355.39,174.69,46.36,25.96
8805,12263.0,762.0,199.27,153.41,27.38,61.27
8806,12263.0,769.0,116.04,127.05,131.27,97.2
8807,12264.0,763.0,355.39,174.69,46.36,25.96
8808,12264.0,762.0,199.27,153.41,27.38,61.27
8809,12265.0,763.0,355.39,174.69,46.36,25.96
8810,12265.0,762.0,199.27,153.41,27.38,61.27
8811,12266.0,763.0,355.39,174.69,46.36,25.96
8812,12266.0,762.0,199.27,153.41,27.38,61.27
8813,12267.0,763.0,355.39,174.69,63.94,25.96
8814,12267.0,762.0,199.27,153.41,27.38,61.27
8815,12268.0,763.0,355.39,174.69,63.94,25.96
8816,12268.0,762.0,199.27,153.41,27.38,61.27
8817,12269.0,763.0,355.39,174.69,46.36,25.96
8818,12269.0,762.0,199.27,153.41,27.38,61.27
8819,12270.0,763.0,355.39,174.69,46.36,25.96
8820,12270.0,762.0,199.27,153.41,27.38,61.27
8821,12271.0,763.0,355.39,174.69,46.36,25.96
8822,12271.0,762.0,199.27,153.41,27.38,61.27
8823,12272.0,763.0,355.39,174.69,46.36,25.96
8824,12272.0,762.0,199.27,153.41,27.38,61.27
8825,12273.0,763.0,355.39,174.69,46.36,25.96
8826,12273.0,762.0,199.27,153.41,27.38,61.27
8827,12274.0,763.0,355.39,174.69,46.36,25.96
8828,12274.0,762.0,199.27,153.41,27.38,61.27
8829,12274.0,769.0,116.04,127.05,131.27,97.2
8830,12275.0,763.0,355.39,174.69,46.36,25.96
8831,12275.0,762.0,199.27,153.41,27.38,61.27
8832,12276.0,763.0,355.39,174.69,46.36,25.96
8833,12276.0,762.0,199.27,153.41,27.38,61.27
8834,12276.0,770.0,239.6,171.88,41.12,20.04
8835,12277.0,763.0,355.39,174.69,46.36,25.96
8836,12277.0,762.0,199.27,153.41,27.38,61.27
8837,12277.0,770.0,239.6,171.88,41.12,20.04
8838,12278.0,763.0,355.39,174.69,46.36,25.96
8839,12278.0,762.0,199.27,153.41,27.38,61.27
8840,12279.0,763.0,355.39,174.69,46.36,25.96
8841,12279.0,762.0,199.27,153.41,27.38,61.27
8842,12280.0,763.0,355.39,174.69,46.36,25.96
