frameID,groupID,x,y,w,h
18224,34,479.36,138.33,107.94,216.42
18225,35,169.86,199.26,79.54,44.79
18225,34,382.25,143.12,198.37,216.66
18226,35,164.88,197.31,81.58,45.11
18226,34,382.02,143.08,186.87,218.69
18227,35,154.2,196.24,149.2,46.14
18227,34,450.23,144.84,106.86,208.71
18228,35,148.55,148.41,249.78,175.21
18228,34,442.21,146.55,107.21,209.74
18229,36,265.7,146.83,132.16,196.63
18229,37,93.53,184.59,90.7,50.0
18230,36,264.62,142.06,127.96,197.54
18230,37,95.57,183.4,88.13,41.75
18231,36,262.54,141.95,128.71,196.86
18231,38,96.06,185.93,100.86,36.68
18232,36,262.19,139.56,130.68,198.7
18232,38,96.66,182.78,106.99,40.74
18233,36,268.54,137.1,136.68,212.31
18233,39,120.89,182.26,101.96,50.65
18234,36,261.67,137.53,217.41,210.83
18234,40,135.32,185.24,84.12,48.88
18235,36,134.55,135.1,259.43,214.39
18236,36,135.01,136.7,246.67,212.38
18236,41,397.19,158.91,79.75,127.4
18237,41,111.92,149.63,333.1,199.06
18238,17,99.01,130.75,257.38,215.29
18239,42,93.26,150.61,344.14,197.22
18240,17,84.8,133.73,358.85,204.3
18241,17,75.74,129.57,250.82,219.02
18242,17,67.92,128.55,241.12,219.83
18243,17,60.43,125.16,246.72,226.39
18244,17,2.33,127.58,330.2,230.17
18244,41,357.47,192.96,119.12,80.39
18246,43,17.79,185.61,118.72,62.92
18246,44,218.62,138.49,147.59,211.59
18247,43,17.64,184.26,122.34,66.69
18247,44,230.54,140.06,136.18,209.78
18248,45,20.92,147.64,268.69,199.63
18249,43,19.42,186.65,115.82,66.29
18249,46,213.21,133.18,372.77,214.64
18250,43,19.33,183.37,115.44,71.88
18250,46,211.2,131.67,393.71,218.93
18251,47,44.71,127.78,308.66,219.6
18252,46,284.43,126.87,306.01,215.85
18252,48,1.56,152.21,226.08,203.39
18253,49,1.0,134.98,308.82,224.35
18254,47,6.6,130.54,296.07,226.68
18255,17,5.07,127.97,296.38,225.11
18256,17,226.96,123.77,100.75,221.29
18257,41,234.45,135.38,407.83,213.87
18257,50,25.46,153.33,177.92,202.57
18259,51,16.01,142.25,275.62,206.26
18262,51,1.0,138.87,330.11,204.74
18263,51,1.0,199.9,40.48,58.0
18264,52,19.11,115.71,263.74,226.42
18264,53,485.82,146.51,118.5,181.37
18265,54,120.31,181.14,103.41,66.82
18266,54,111.38,163.3,396.17,149.58
18267,52,3.87,99.86,153.92,247.34
18267,54,195.78,158.19,289.78,129.7
18268,55,1.25,111.21,284.0,235.45
18268,53,434.56,153.2,114.09,178.89
18269,56,97.28,152.5,444.44,184.36
18270,57,2.22,119.43,142.88,232.37
18270,58,166.97,189.56,217.08,67.59
18271,44,76.72,152.38,312.67,170.94
18272,36,191.87,157.98,153.16,160.13
18273,36,163.15,154.73,167.07,162.98
18273,59,387.58,199.25,119.13,65.42
