frame,u,v
18215,164.4,162.52
18215,212.57,159.76
18215,280.9,191.39
18215,296.05,163.29
18215,1.0,115.69
18215,101.47,135.12
18215,12.54,147.95
18216,334.51,173.72
18216,143.56,158.45
18216,203.02,159.57
18216,273.23,197.64
18216,294.75,165.04
18216,78.21,123.8
18216,1.0,135.44
18217,331.78,174.92
18217,114.9,150.66
18217,181.7,153.29
18217,264.82,198.98
18217,297.4,165.13
18217,67.99,120.21
18217,1.0,115.22
18218,331.02,174.56
18218,98.9,144.2
18218,171.21,149.52
18218,258.84,199.67
18218,299.23,165.42
18218,22.72,109.92
18218,1.0,107.24
18219,330.64,174.43
18219,76.12,137.61
18219,171.16,144.93
18219,256.43,201.38
18219,315.22,164.91
18219,9.23,108.88
18220,64.75,132.58
18220,178.97,141.65
18220,330.23,161.73
18220,4.2,108.45
18221,55.04,130.2
18221,366.78,201.25
18221,173.93,139.65
18221,452.91,157.93
18221,333.62,160.93
18221,1.0,104.63
18222,367.11,203.2
18222,464.29,158.0
18223,473.29,150.82
18224,231.97,202.22
18224,472.52,153.13
18225,382.03,203.25
18225,229.37,203.16
18225,467.6,152.45
18225,525.32,143.12
18226,384.45,204.34
18226,227.22,201.81
18226,459.13,151.61
18226,513.43,143.08
18226,164.88,197.31
18227,219.49,201.85
18227,450.34,152.27
18227,502.6,144.84
18227,154.2,196.24
18228,215.44,202.46
18228,450.71,151.39
18228,330.91,148.33
18228,495.6,146.55
18228,148.55,195.53
18229,260.57,149.57
18229,328.35,146.78
18230,268.26,148.64
18230,325.59,142.02
18230,107.35,183.52
18230,95.57,183.4
18231,269.05,147.72
18231,324.11,141.92
18231,108.3,181.73
18231,96.06,188.07
18232,269.73,146.42
18232,327.46,139.53
18232,118.68,182.24
18232,96.66,189.2
18233,410.71,168.9
18233,276.38,144.86
18233,201.91,186.33
18233,336.52,137.07
18233,122.28,181.09
18234,418.98,163.04
18234,269.26,149.07
18234,198.42,185.26
18234,331.7,137.51
18234,135.32,194.19
18235,411.81,161.16
18235,262.07,151.31
18235,323.7,135.08
18235,134.55,193.66
18235,156.3,190.47
18236,416.12,160.17
18236,248.15,149.46
18236,311.97,136.68
18236,121.08,186.37
18236,140.46,188.08
18236,155.56,190.16
18237,230.55,149.78
18237,300.34,134.38
18237,122.8,186.61
18237,134.97,186.12
18237,158.64,187.49
18237,382.21,177.1
18238,210.92,151.86
18238,183.45,188.22
18238,284.19,130.74
18238,119.44,185.76
18238,97.07,187.54
18238,133.59,181.75
18238,150.91,185.39
18238,380.92,170.59
18239,197.51,150.71
18239,180.75,187.97
18239,274.4,130.4
18239,114.59,185.32
18239,95.72,186.85
18239,133.54,179.96
18239,145.98,183.11
18239,377.72,167.28
18240,81.45,184.67
18240,185.51,154.38
18240,177.3,187.49
18240,266.7,133.71
18240,118.46,181.85
18240,101.83,185.96
18240,138.21,181.37
18240,370.8,159.12
18241,76.42,187.4
18241,171.86,148.2
18241,254.99,129.56
18241,113.33,180.03
18241,97.62,185.28
18241,131.95,181.55
18241,364.45,178.09
18242,69.35,188.92
18242,156.8,150.48
18242,237.57,128.54
18242,107.71,180.14
18242,97.78,185.21
18242,124.96,183.32
18242,358.92,191.62
18243,74.19,187.27
18243,150.72,144.28
18243,235.82,125.15
18243,109.8,179.06
18243,95.47,184.45
18243,128.75,181.6
18243,360.47,194.05
18244,439.1,190.43
18244,74.29,187.22
18244,142.83,143.56
18244,159.41,188.32
18244,212.08,141.04
18244,262.35,127.57
18244,2.33,182.62
18244,109.55,178.54
18244,95.46,184.33
18244,126.0,180.64
18244,356.82,193.6
18245,442.65,192.06
18245,155.6,188.08
18245,231.21,149.5
18245,295.46,131.58
18245,1.0,181.83
18246,68.38,186.04
18246,235.19,151.39
18246,298.09,138.49
18247,66.25,184.5
18247,230.88,149.92
18247,298.45,140.05
18247,17.64,186.16
18248,66.54,183.94
18248,225.93,147.63
18248,296.68,138.41
18248,147.79,186.48
18248,20.92,186.41
18249,59.39,186.44
18249,211.34,143.88
18249,291.74,133.18
18249,148.88,186.39
18249,19.42,186.92
18250,49.95,184.6
18250,209.48,141.58
18250,290.85,131.67
18250,91.99,184.77
18250,149.92,190.29
18250,19.33,187.5
18250,539.3,199.9
18251,45.91,183.93
18251,202.12,148.88
18251,284.97,127.78
18251,90.79,185.73
18251,149.83,192.26
18251,544.33,201.52
18252,48.39,188.07
18252,218.32,135.14
18252,160.63,152.2
18252,284.28,126.87
18252,90.49,185.79
18252,150.64,193.27
18252,1.56,188.7
18252,522.67,199.84
18253,49.45,189.15
18253,221.4,136.65
18253,143.29,151.46
18253,1.0,186.43
18253,515.81,198.64
18254,47.55,189.26
18254,222.92,130.96
18254,132.54,147.76
18254,6.6,185.38
18254,519.68,196.67
18255,225.81,127.85
18255,133.82,150.32
18255,38.81,179.41
18255,82.66,188.99
18255,5.07,185.45
18255,526.85,187.72
18256,535.2,196.03
18256,225.47,123.47
18256,135.04,151.95
18256,20.42,191.23
18256,81.73,189.33
18256,51.11,181.69
18256,294.91,192.28
18256,536.55,188.04
18257,542.57,196.67
18257,30.93,193.33
18257,233.78,135.06
18257,136.43,153.33
18257,3.68,194.32
18257,45.82,181.5
18257,289.93,192.1
18257,556.23,198.35
18257,77.88,190.58
18258,18.26,193.34
18258,224.54,139.48
18258,115.55,153.21
18258,572.54,191.64
18258,73.83,191.22
18259,15.68,196.74
18259,220.45,141.98
18259,85.03,186.49
18259,107.51,156.34
18259,577.54,185.86
18259,71.34,192.67
18260,572.31,187.27
18260,8.13,200.51
18260,217.54,142.06
18260,81.15,186.81
18260,98.05,158.12
18260,578.21,181.15
18260,30.37,196.93
18261,571.57,169.47
18261,3.88,201.28
18261,214.59,142.2
18261,78.06,187.94
18261,91.56,161.31
18261,582.53,179.78
18261,29.59,197.9
18262,571.43,157.86
18262,1.0,203.57
18262,207.41,138.68
18262,73.29,187.89
18262,82.08,160.76
18262,304.48,188.9
18262,21.75,198.84
18263,578.2,155.68
18263,1.0,204.72
18263,206.34,138.6
18263,73.46,161.68
18263,305.79,192.75
18263,80.56,189.44
18263,257.96,193.26
18263,19.49,199.17
18264,132.78,183.33
18264,80.07,189.61
18264,252.74,193.3
18265,270.1,188.28
18265,124.13,183.06
18265,18.25,111.41
18265,473.35,146.1
18266,264.7,187.37
18266,126.51,184.28
18266,5.62,99.74
18266,459.55,137.36
18266,434.62,154.61
18266,187.16,179.56
18267,259.54,187.41
18267,128.73,182.43
18267,3.87,99.86
18267,450.43,134.02
18267,440.04,155.31
18267,195.78,179.8
18268,129.4,182.45
18268,244.85,191.95
18268,1.25,111.21
18268,476.81,150.69
18268,438.84,155.54
18268,196.92,179.66
18269,240.89,191.84
18269,5.06,119.71
18269,499.64,166.17
18269,205.29,189.08
18270,232.64,182.61
18270,79.48,152.73
18270,2.19,187.46
18270,3.95,119.43
18270,501.99,169.33
18270,208.05,191.16
18271,234.44,186.06
18271,76.36,152.38
18271,1.0,187.37
18272,157.23,199.48
18272,200.45,171.91
18273,157.6,199.84
18273,195.6,169.82
18273,164.99,188.21
18273,244.68,154.13
18274,198.93,172.8
18274,160.99,185.27
18274,242.85,172.07
18274,480.06,207.67
18275,122.04,194.62
18275,586.33,202.58
18275,250.35,176.08
18275,479.63,210.35
18276,172.48,200.69
18276,121.78,195.56
18276,587.34,203.57
18276,412.01,214.01
18276,208.56,198.52
18276,151.19,195.11
18276,274.64,181.22
18276,336.4,166.8
18277,169.14,202.9
18277,406.31,213.76
18277,202.08,197.39
18277,144.87,196.03
18277,279.51,182.9
18277,338.68,169.91
18277,121.06,193.3
18278,163.19,205.74
18278,105.99,185.55
18278,128.76,195.31
18278,594.01,216.14
18278,403.09,218.38
18278,201.61,198.4
18278,225.47,173.05
18278,140.16,196.38
18278,285.95,187.22
18278,318.58,164.43
18278,118.42,192.06
18279,107.32,186.61
18279,128.84,194.95
18279,595.7,217.88
18279,226.63,172.53
18279,312.18,163.92
18280,108.47,188.87
18280,129.31,195.53
18280,597.03,220.22
18280,578.22,205.71
18280,231.42,173.48
18280,311.03,163.95
18280,71.0,196.37
18281,225.84,152.88
18281,577.82,211.43
18281,67.44,185.17
18282,157.69,187.14
18282,68.79,173.3
18282,281.55,166.36
18282,583.2,215.25
18282,227.45,174.41
18282,141.08,178.16
18282,63.96,184.46
18283,153.26,183.62
18283,71.66,172.79
18283,297.99,167.64
18283,232.72,174.25
18283,275.78,204.73
18283,143.23,175.63
18284,121.59,182.82
18284,147.35,183.07
18284,320.2,169.94
18284,254.36,176.46
18284,277.37,208.58
18285,507.02,192.63
18285,115.0,180.87
18285,52.49,177.11
18285,340.26,172.95
18285,244.57,178.6
18285,445.92,213.78
18285,295.35,168.88
18285,195.99,185.78
18285,218.03,189.29
18286,542.38,192.13
18286,45.28,179.21
18286,240.39,181.05
18286,442.96,214.44
18286,293.05,168.27
18286,203.65,186.64
18286,215.87,190.83
18287,543.42,193.67
18287,49.48,178.6
18287,253.0,182.15
18287,297.2,166.17
18287,204.81,185.85
18287,214.06,192.14
18287,77.39,180.24
18288,46.58,178.57
18288,256.08,182.87
18288,304.44,166.39
18288,73.74,178.76
18288,180.77,181.89
18289,54.13,179.09
18289,264.32,182.64
18289,316.93,164.78
18289,81.09,178.09
18289,185.6,181.97
18289,237.87,194.04
18290,107.08,182.79
18290,54.51,179.49
18290,334.58,207.52
18290,277.09,184.49
18290,335.98,169.83
18290,80.41,182.37
18290,198.25,187.44
18290,245.56,197.73
18291,100.77,182.48
18291,51.16,182.27
18291,329.18,207.33
18291,277.25,183.16
18291,331.59,166.08
18291,80.6,182.43
18291,203.01,189.03
18291,249.38,200.04
18292,50.86,180.45
18292,267.35,183.09
18292,322.08,167.21
18292,200.24,192.24
18292,82.05,183.22
18293,50.56,180.85
18293,306.99,195.17
18293,259.43,182.67
18293,143.75,181.8
18293,313.22,166.51
18293,41.34,178.9
18293,191.62,192.21
18294,298.79,191.46
18294,249.68,184.24
18294,132.06,180.68
18294,307.01,168.5
18294,23.11,178.54
18294,178.46,192.29
18294,365.16,201.67
18295,298.07,192.54
18295,245.33,182.43
18295,126.74,179.22
18295,304.82,168.49
18295,17.07,177.12
18295,171.43,194.9
18295,363.54,201.86
18296,290.6,191.78
18296,237.23,180.5
18296,124.19,178.32
18296,299.18,166.13
18296,12.29,176.37
18296,156.57,192.62
18296,367.36,200.18
18297,279.56,189.66
18297,221.58,178.96
18297,124.89,187.72
18297,286.92,165.02
18297,149.65,192.92
18297,368.57,199.56
18298,590.51,235.43
18298,100.43,187.87
18298,37.06,172.24
18298,265.13,187.43
18298,203.54,173.91
18298,122.9,188.54
18298,271.44,169.04
18298,366.53,200.05
18299,594.3,238.79
18299,99.0,187.52
18299,35.66,171.7
18299,257.87,186.43
18299,187.37,172.13
18299,256.47,169.92
