frame,u,v
577,144.49,124.64
578,144.92,123.28
579,153.34,124.03
580,155.79,125.18
586,157.95,128.29
587,159.14,129.02
589,150.24,130.93
590,144.56,130.12
591,139.2,130.34
592,131.04,131.44
593,129.25,131.5
596,93.07,128.87
597,89.86,128.25
598,88.09,128.39
599,88.15,128.53
600,88.66,129.18
601,88.6,129.86
602,89.26,130.23
603,91.21,128.75
604,90.93,127.96
605,90.82,127.46
606,90.87,127.56
607,90.55,128.45
608,91.76,127.65
609,88.92,125.09
610,87.89,125.99
611,82.69,126.07
612,76.63,136.77
613,71.56,137.45
614,69.61,136.86
615,64.29,136.71
616,60.86,136.65
617,54.44,126.04
618,48.46,134.59
619,43.34,138.08
620,38.49,121.8
621,38.42,118.6
622,41.32,117.77
623,41.68,119.19
626,22.54,120.38
627,11.75,118.85
628,1.07,115.4
629,1.0,114.56
630,1.0,113.54
645,171.22,31.8
646,174.74,40.84
647,176.72,51.64
649,174.38,71.14
651,179.71,135.85
652,182.88,141.78
658,176.27,161.2
659,179.06,163.41
660,179.51,164.18
662,197.19,164.27
663,171.33,160.14
664,169.74,158.7
665,170.51,158.5
666,174.14,159.08
667,171.22,158.97
668,169.7,158.72
669,160.49,157.7
670,153.92,156.72
671,150.29,156.52
672,149.07,155.01
673,144.74,153.34
674,139.7,152.03
675,134.14,150.0
676,131.23,147.08
678,135.89,140.81
686,74.38,90.82
687,80.03,91.44
688,84.88,92.7
693,210.06,154.57
694,55.06,95.39
694,208.75,155.42
695,52.94,94.41
695,208.06,155.88
696,30.7,94.14
696,207.03,156.28
697,25.77,95.0
703,165.87,125.94
706,216.96,122.22
707,224.25,122.57
708,227.61,122.5
709,228.31,122.17
710,227.37,121.73
711,195.29,112.55
712,216.09,113.82
713,217.72,112.05
716,226.29,114.56
717,228.26,114.21
719,237.29,111.49
720,239.09,110.34
720,345.79,165.02
721,239.42,109.73
722,239.2,109.96
723,238.22,113.58
724,237.03,115.21
725,230.07,115.23
726,226.5,115.39
727,224.66,116.43
728,223.14,116.53
729,219.53,114.05
730,216.79,114.13
731,203.09,113.25
732,196.48,108.16
733,194.03,103.74
744,176.17,92.16
749,172.5,94.58
750,166.85,92.97
751,210.05,93.28
752,201.12,90.84
753,192.84,88.03
754,187.67,86.41
755,186.87,85.17
756,131.42,79.16
757,166.95,76.19
758,115.72,70.96
759,157.53,72.5
760,107.16,68.71
761,103.77,70.15
762,40.27,47.91
763,33.0,44.27
764,28.51,41.68
765,26.76,40.33
766,24.97,37.77
767,23.5,36.66
768,22.61,38.6
769,22.57,37.96
770,21.42,39.4
771,13.51,36.67
772,7.84,28.66
773,1.0,19.68
774,1.0,16.98
775,1.0,11.13
776,1.0,2.03
779,102.55,18.09
780,97.81,30.65
781,5.39,14.42
782,1.0,38.47
783,1.0,38.26
784,1.0,59.69
785,1.0,54.55
786,1.0,47.75
787,1.0,14.37
788,1.0,10.17
789,1.0,8.01
790,1.61,29.4
793,1.0,178.15
793,358.46,170.26
794,358.65,171.11
795,1.0,178.91
795,358.0,172.32
795,438.39,181.75
796,1.0,179.35
796,358.02,172.84
796,437.73,183.0
797,1.0,180.6
797,358.89,173.47
797,435.79,183.35
798,358.97,176.02
798,434.53,185.08
799,359.34,177.14
800,400.89,179.51
800,342.24,202.08
801,296.17,204.46
801,342.26,180.58
802,343.8,179.17
803,345.12,176.48
804,345.35,176.53
805,291.02,204.61
805,358.75,176.62
806,346.96,175.84
807,347.16,175.1
808,466.68,179.27
808,331.92,174.84
809,466.32,180.3
809,331.32,173.8
810,332.14,172.57
811,333.25,173.03
812,333.12,173.58
813,333.19,174.31
814,333.53,174.4
815,333.72,174.75
816,334.32,174.93
817,334.57,175.52
818,345.51,176.34
819,345.39,176.34
820,344.71,177.27
821,11.8,189.8
821,343.31,177.97
822,343.04,202.28
823,361.05,210.66
824,360.57,211.01
825,11.22,189.53
825,343.41,178.73
826,343.22,202.94
827,331.94,176.87
829,396.2,196.53
830,396.77,198.99
830,64.66,189.4
831,396.8,201.55
831,72.5,189.9
832,396.78,203.67
832,330.36,204.72
832,77.05,190.22
833,396.65,204.55
833,82.84,191.46
834,383.36,204.25
834,87.44,194.27
835,382.4,203.76
835,76.35,195.4
836,382.04,203.75
836,74.58,197.12
837,381.85,204.08
837,73.56,194.97
838,382.02,203.92
838,72.78,197.83
839,382.61,204.62
839,70.76,198.02
840,64.44,194.87
840,383.86,205.46
841,65.18,195.21
841,370.34,202.75
842,61.17,196.82
842,369.68,203.34
843,49.71,196.21
843,370.97,204.77
844,47.7,194.66
844,358.22,201.95
845,47.57,193.33
845,355.08,202.19
846,47.35,192.83
846,350.4,201.96
847,48.4,193.49
847,356.82,203.49
848,357.4,204.0
848,49.61,194.03
849,343.2,203.11
850,338.92,202.99
851,333.0,202.6
852,331.14,203.25
853,326.98,203.18
854,345.25,204.7
855,343.76,202.3
855,8.67,125.37
856,343.76,202.31
856,8.85,126.72
857,344.1,201.7
857,10.94,126.32
858,346.04,203.04
858,12.67,128.64
859,347.03,204.07
859,20.39,127.42
860,346.1,202.42
860,273.4,194.52
860,21.84,126.32
861,347.04,203.92
861,270.09,194.94
861,19.51,126.61
862,346.93,203.88
862,269.35,194.74
862,17.49,127.37
863,347.63,204.57
863,269.35,196.44
863,16.79,130.72
864,347.37,204.76
864,18.92,135.32
865,345.32,203.53
866,343.9,203.23
867,343.91,203.3
868,343.59,202.74
868,1.83,125.21
869,343.26,202.12
869,1.81,134.16
870,344.34,201.24
870,7.97,127.85
871,344.3,201.08
871,16.91,127.24
871,280.9,196.64
872,358.99,203.44
872,21.31,127.35
872,283.75,197.52
873,285.36,195.84
873,357.63,202.75
873,24.05,133.61
874,286.62,195.74
874,357.15,202.17
874,25.84,137.34
875,357.03,201.88
875,29.78,136.81
876,371.71,211.25
877,373.07,211.28
878,372.82,211.63
879,368.15,203.58
879,295.09,197.05
880,367.66,203.39
882,383.59,211.25
883,384.5,211.03
884,380.75,203.72
885,381.33,202.32
887,382.25,201.93
888,382.01,201.9
889,381.17,200.42
890,383.62,201.08
891,384.94,200.65
892,383.68,202.18
893,382.45,200.25
894,371.4,197.61
895,369.95,199.21
896,359.31,200.45
897,359.45,200.38
898,369.58,202.8
899,369.49,203.0
900,369.5,210.98
900,132.45,158.44
901,371.47,211.76
901,134.39,159.11
902,374.48,212.41
905,371.67,200.7
906,372.8,200.85
906,197.62,160.44
907,371.7,199.67
907,203.14,161.11
908,371.09,198.85
908,205.81,163.15
909,371.56,199.56
909,206.84,164.42
910,371.71,199.53
910,203.04,163.47
911,200.92,163.87
912,357.12,200.29
912,198.55,164.46
913,358.77,201.19
913,196.33,164.38
914,188.1,163.3
915,179.22,165.4
916,175.21,167.58
917,172.64,167.64
918,331.58,201.36
918,172.12,164.99
919,333.32,201.57
919,174.11,163.53
920,334.29,200.63
920,179.44,165.28
921,335.6,201.69
921,183.11,166.07
922,334.73,200.42
922,185.68,166.27
923,334.72,200.89
923,187.32,167.7
924,334.48,201.56
924,187.66,168.78
925,335.05,201.7
925,187.79,168.56
926,188.34,168.51
927,333.76,201.42
927,190.15,170.5
928,333.21,201.88
928,192.73,172.17
929,332.09,201.3
929,194.52,174.74
930,332.15,201.34
930,182.64,174.6
931,333.94,211.77
931,175.97,173.64
932,331.41,211.45
932,169.96,172.43
933,330.16,211.76
933,166.56,170.76
934,309.51,202.09
934,163.54,171.56
935,308.14,201.29
935,160.98,171.74
936,290.88,199.84
936,156.53,170.7
937,113.66,165.83
938,297.54,200.63
938,115.33,165.54
939,295.39,199.79
939,115.13,164.98
940,296.37,201.66
940,113.41,164.44
941,296.02,201.16
941,112.73,164.61
942,280.86,200.3
942,111.64,164.38
943,279.04,200.2
943,109.56,164.84
944,277.5,200.15
944,107.3,164.6
945,305.33,211.37
945,107.28,164.92
946,286.11,203.24
946,107.36,164.52
947,269.48,200.94
947,107.27,165.46
948,268.15,200.72
948,106.82,164.39
949,267.74,200.7
949,107.82,164.97
950,267.56,199.32
950,109.15,165.25
951,112.51,166.97
951,269.5,199.08
952,268.38,198.89
952,118.05,168.38
953,284.66,201.93
953,131.21,171.37
954,282.56,202.42
954,144.03,174.52
955,308.7,210.37
955,150.62,178.19
956,308.17,212.01
956,153.66,176.64
957,308.97,212.86
957,160.07,178.23
958,310.09,213.75
958,164.72,179.32
959,308.87,213.07
959,170.58,179.57
960,322.12,207.32
960,174.57,177.87
961,321.84,205.35
961,175.09,175.93
962,307.23,201.55
962,173.8,173.68
963,308.1,202.15
963,175.24,173.37
964,308.45,202.82
964,176.03,172.89
965,307.97,202.54
965,109.51,174.96
966,308.33,202.89
966,143.69,179.92
967,173.32,180.53
968,193.96,180.13
970,346.01,200.79
971,345.9,201.03
972,358.89,203.42
973,359.8,203.53
976,245.75,183.71
977,242.01,184.22
978,239.03,185.68
979,238.22,186.54
980,238.21,183.43
981,238.31,182.59
982,237.2,181.74
983,320.53,198.04
983,239.06,182.06
984,315.73,196.89
